start_station_name,member_casual,number_of_rides
Menard Ave & Grand Ave,member,4
Menard Ave & Madison St,casual,7
Menard Ave & Madison St,member,1
Menard Ave & North Ave,casual,52
Menard Ave & North Ave,member,10
Michigan Ave & 102nd St,casual,2
Michigan Ave & 102nd St,member,1
Michigan Ave & 110th St,casual,4
Michigan Ave & 110th St,member,2
Michigan Ave & 113th St,casual,2
Michigan Ave & 113th St,member,1
Michigan Ave & 114th St,casual,61
Michigan Ave & 114th St,member,17
Michigan Ave & 119th St,casual,2
Michigan Ave & 14th St,casual,4648
Michigan Ave & 14th St,member,7706
Michigan Ave & 18th St,casual,3924
Michigan Ave & 18th St,member,6650
Michigan Ave & 71st St,casual,69
Michigan Ave & 71st St,member,47
Michigan Ave & 8th St,casual,11912
Michigan Ave & 8th St,member,6325
Michigan Ave & 96th St,casual,4
Michigan Ave & 96th St,member,1
Michigan Ave & Ida B Wells Dr,casual,5089
Michigan Ave & Ida B Wells Dr,member,3129
Michigan Ave & Jackson Blvd,casual,8375
Michigan Ave & Jackson Blvd,member,5342
Michigan Ave & Lake St,casual,10379
Michigan Ave & Lake St,member,13231
Michigan Ave & Madison St,casual,5538
Michigan Ave & Madison St,member,5612
Michigan Ave & Oak St,casual,26509
Michigan Ave & Oak St,member,15403
Michigan Ave & Pearson St,casual,5497
Michigan Ave & Pearson St,member,5282
Michigan Ave & Washington St,casual,11406
Michigan Ave & Washington St,member,13378
Midway Orange Line,casual,161
Midway Orange Line,member,61
Mies van der Rohe Way & Chestnut St,casual,6698
Mies van der Rohe Way & Chestnut St,member,9535
Mies van der Rohe Way & Chicago Ave,casual,5880
Mies van der Rohe Way & Chicago Ave,member,10024
Millard Ave & 26th St,casual,216
Millard Ave & 26th St,member,236
Millennium Park,casual,26105
Millennium Park,member,9902
Milwaukee Ave & Addison St,casual,24
Milwaukee Ave & Addison St,member,15
Milwaukee Ave & Cuyler Ave,casual,427
Milwaukee Ave & Cuyler Ave,member,453
Milwaukee Ave & Diversey Ave,casual,72
Milwaukee Ave & Diversey Ave,member,83
Milwaukee Ave & Fullerton Ave,casual,2135
Milwaukee Ave & Fullerton Ave,member,2043
Milwaukee Ave & Grand Ave,casual,6471
Milwaukee Ave & Grand Ave,member,9482
Milwaukee Ave & Haussen Ct,casual,33
Milwaukee Ave & Haussen Ct,member,22
Milwaukee Ave & Rockwell St,casual,2545
Milwaukee Ave & Rockwell St,member,2558
Milwaukee Ave & School St,casual,17
Milwaukee Ave & School St,member,16
Milwaukee Ave & Wabansia Ave,casual,5342
Milwaukee Ave & Wabansia Ave,member,7981
Milwaukee Ave & Waveland Ave,casual,6
Monticello Ave & Belmont Ave,casual,38
Monticello Ave & Belmont Ave,member,26
Monticello Ave & Chicago Ave,casual,69
Monticello Ave & Chicago Ave,member,107
Monticello Ave & Irving Park Rd,casual,845
Monticello Ave & Irving Park Rd,member,1030
Montrose Harbor,casual,13568
Montrose Harbor,member,8410
Morgan Ave & 14th Pl,casual,1307
Morgan Ave & 14th Pl,member,3885
Morgan St & 103rd St,casual,1
Morgan St & 103rd St,member,2
Morgan St & 18th St,casual,2333
Morgan St & 18th St,member,3772
Morgan St & 31st St,casual,1118
Morgan St & 31st St,member,2782
Morgan St & 87th St,casual,8
Morgan St & 87th St,member,3
Morgan St & 95th St,casual,3
Morgan St & 95th St,member,18
Morgan St & Lake St,casual,2745
Morgan St & Lake St,member,3641
Morgan St & Lake St*,casual,2175
Morgan St & Lake St*,member,3886
Morgan St & Pershing Rd,casual,59
Morgan St & Pershing Rd,member,88
Morgan St & Polk St,casual,2779
Morgan St & Polk St,member,14127
Mozart Elementary School,casual,69
Mozart Elementary School,member,19
Mozart St & Jackson Blvd,casual,40
Mozart St & Jackson Blvd,member,88
Mt Greenwood Library - North,casual,4
Mt Greenwood Library - South,casual,8
Mt Greenwood Library - South,member,3
Mulligan Ave & Wellington Ave,casual,201
Mulligan Ave & Wellington Ave,member,239
Museum of Science and Industry,casual,2899
Museum of Science and Industry,member,1787
Muskegon Ave & 89th St,casual,2
Muskegon Ave & 89th St,member,8
N Carpenter St & W Lake St,casual,997
N Carpenter St & W Lake St,member,2055
N Clark St & W Elm St,casual,116
N Clark St & W Elm St,member,168
N Damen Ave & W Chicago Ave,casual,233
N Damen Ave & W Chicago Ave,member,476
N Green St & W Lake St,casual,3475
N Green St & W Lake St,member,4691
N Narragansett Ave & Grand Ave,casual,46
N Narragansett Ave & Grand Ave,member,11
N Paulina St & Lincoln Ave,casual,600
N Paulina St & Lincoln Ave,member,669
N Sayre Ave & W Belden Ave,casual,2
N Sayre Ave & W Belden Ave,member,3
N Sheffield Ave & W Wellington Ave,casual,875
N Sheffield Ave & W Wellington Ave,member,1165
N Shore Channel Trail & Argyle St,casual,514
N Shore Channel Trail & Argyle St,member,528
N Southport Ave & W Newport Ave,casual,507
N Southport Ave & W Newport Ave,member,665
Nagle Ave & Belmont Ave,casual,29
Nagle Ave & Belmont Ave,member,42
Narragansett & Irving Park,casual,254
Narragansett & Irving Park,member,293
Narragansett & McLean,casual,72
Narragansett & McLean,member,87
Narragansett & Wrightwood,casual,777
Narragansett & Wrightwood,member,437
Narragansett Ave & Fullerton Ave,casual,9
Narragansett Ave & Fullerton Ave,member,12
Narragansett Ave & School St,casual,213
Narragansett Ave & School St,member,141
Neva Ave & Grand Ave,casual,24
Neva Ave & Grand Ave,member,18
New England Ave & Grace St,member,1
New St & Illinois St,casual,11011
New St & Illinois St,member,11298
NewHastings,casual,37
NewHastings,member,44
Newcastle Ave & Belden Ave,casual,41
Newcastle Ave & Belden Ave,member,33
Newcastle Ave & Belmont Ave,casual,9
Newcastle Ave & Belmont Ave,member,2
Newcastle Ave & Wellington Ave,casual,4
Newland Ave & Diversey Ave,casual,6
Newland Ave & Diversey Ave,member,2
Noble St & Milwaukee Ave,casual,2905
Noble St & Milwaukee Ave,member,5510
Nordica & Medill,casual,74
Nordica & Medill,member,44
Nordica Ave & Addison St,casual,3
Nordica Ave & Addison St,member,2
Normal Ave & 72nd St,casual,3
Normal Ave & Archer Ave,casual,324
Normal Ave & Archer Ave,member,697
North Ave & New England Ave,casual,47
North Ave & New England Ave,member,16
Oak Park & Wellington,casual,178
Oak Park & Wellington,member,46
Oakley Ave & Irving Park Rd,casual,1125
Oakley Ave & Irving Park Rd,member,1511
Oakley Ave & Touhy Ave,casual,315
Oakley Ave & Touhy Ave,member,384
Ogden Ave & Chicago Ave,casual,4645
Ogden Ave & Chicago Ave,member,8166
Ogden Ave & Congress Pkwy,casual,1001
Ogden Ave & Congress Pkwy,member,2670
Ogden Ave & Race Ave,casual,3292
Ogden Ave & Race Ave,member,6751
Ogden Ave & Roosevelt Rd,casual,498
Ogden Ave & Roosevelt Rd,member,1622
Oglesby Ave & 100th St,casual,61
Oglesby Ave & 100th St,member,65
Oglesby Ave & 105th St,casual,1
Oglesby Ave & 105th St,member,2
Oglesby Ave & 95th St,member,7
Oketo Ave & Addison St,casual,119
Oketo Ave & Addison St,member,25
Oketo Ave & Belmont Ave,casual,13
Oketo Ave & Belmont Ave,member,4
Oleander Ave & Addison St,casual,6
Oleander Ave & Addison St,member,3
Olive Harvey College,casual,23
Olive Harvey College,member,82
Orange & Addison,casual,160
Orange & Addison,member,112
Orleans St & Chestnut St (NEXT Apts),casual,3793
Orleans St & Chestnut St (NEXT Apts),member,6074
Orleans St & Elm St,casual,1860
Orleans St & Elm St,member,4028
Orleans St & Hubbard St,casual,3001
Orleans St & Hubbard St,member,6288
Orleans St & Merchandise Mart Plaza,casual,5907
Orleans St & Merchandise Mart Plaza,member,13144
Ozark Ave & Addison St,casual,4
Ozark Ave & Addison St,member,4
Panama Ave & Forest Preserve Ave,casual,1
Panama Ave & Grace St,casual,34
Panama Ave & Grace St,member,18
Park Manor Elementary School,casual,2
Parkside Ave & Armitage Ave,casual,24
Parkside Ave & Armitage Ave,member,12
Parnell Ave & 103rd St,casual,5
Parnell Ave & 119th St,casual,5
Parnell Ave & 98th St,casual,6
Paulina Ave & North Ave,casual,3900
Paulina Ave & North Ave,member,5379
Paulina St & 18th St,casual,1940
Paulina St & 18th St,member,3321
Paulina St & Flournoy St,casual,1457
Paulina St & Flournoy St,member,7969
Paulina St & Howard St,casual,1071
Paulina St & Howard St,member,1721
Paulina St & Montrose Ave,casual,1756
Paulina St & Montrose Ave,member,3019
Penn Elementary School / KIPP Ascend Middle School,casual,1
Peoria St & Jackson Blvd,casual,4961
Peoria St & Jackson Blvd,member,13508
Percy Julian HS,member,2
Perry Ave & 108th Pl,casual,3
Perry Ave & 108th Pl,member,5
Perry Ave & 69th St,casual,324
Perry Ave & 69th St,member,117
Phillips Ave & 79th St,casual,210
Phillips Ave & 79th St,member,132
Phillips Ave & 83rd St,casual,78
Phillips Ave & 83rd St,member,51
Pine Grove Ave & Irving Park Rd,casual,6288
Pine Grove Ave & Irving Park Rd,member,10634
Pine Grove Ave & Waveland Ave,casual,8207
Pine Grove Ave & Waveland Ave,member,13530
Ping Tom Park (East),casual,213
Ping Tom Park (East),member,165
Piotrowski Park,casual,2
Piotrowski Park,member,1
Pittsburgh Ave & Irving Park,casual,5
Pittsburgh Ave & Irving Park,member,2
Plainfield & Irving Park,casual,45
Plainfield & Irving Park,member,28
Plainfield Ave & Irving Park Rd,casual,1
Plainfield Ave & Irving Park Rd,member,2
Prairie Ave & 43rd St,casual,575
Prairie Ave & 43rd St,member,531
Prairie Ave & 47th St - midblock,casual,25
Prairie Ave & 47th St - midblock,member,20
Prairie Ave & Garfield Blvd,casual,855
Prairie Ave & Garfield Blvd,member,905
Princeton Ave & 43rd St,casual,4
Princeton Ave & 47th St,casual,422
Princeton Ave & 47th St,member,379
Princeton Ave & Garfield Blvd,casual,252
Princeton Ave & Garfield Blvd,member,249
Prospect Sq & 91st St,casual,159
Prospect Sq & 91st St,member,69
Pubic Rack - Pulaski Rd & 41st,casual,12
Pubic Rack - Pulaski Rd & 41st,member,1
Public  Rack - Albany Ave & 63rd St,casual,5
Public  Rack - Albany Ave & 63rd St,member,3
Public Rack - 10557 S Western Ave,casual,2
Public Rack - 10557 S Western Ave,member,5
Public Rack - 111th St - Morgan Park Metra,casual,7
Public Rack - 111th St - Morgan Park Metra,member,19
Public Rack - 2302 S Pulaski Rd,casual,1
Public Rack - 532 E 43rd St,casual,2
Public Rack - 532 E 43rd St,member,1
Public Rack - 53rd St & Indiana Ave,casual,1
Public Rack - 63rd & Western Ave N,casual,2
Public Rack - 63rd & Western Ave N,member,1
Public Rack - 63rd & Western Ave S,casual,1
Public Rack - 63rd & Western Ave S,member,4
Public Rack - Abbott Park,casual,3
Public Rack - Aida Food Market,casual,1
Public Rack - Al Raby School,casual,6
Public Rack - Al Raby School,member,3
Public Rack - Albany Ave & 111th St - NW,casual,3
Public Rack - Albany Ave & 63rd St,casual,2
Public Rack - Albany Ave & 63rd St,member,4
Public Rack - Ashland Ave & 45th St,member,2
Public Rack - Ashland Ave & 63rd St,casual,3
Public Rack - Ashland Ave & 63rd St,member,7
Public Rack - Ashland Ave & 71st St,casual,4
Public Rack - Ashland Ave & 71st St,member,6
Public Rack - Ashland Ave & 73rd St,casual,1
Public Rack - Ashland Ave & 74th St,member,1
Public Rack - Ashland Ave & 76th St,casual,7
Public Rack - Ashland Ave & 76th St,member,9
Public Rack - Ashland Ave & 83rd St,casual,20
Public Rack - Ashland Ave & 91st St,casual,6
Public Rack - Ashland Ave & 91st St,member,5
Public Rack - Austin Ave & Roscoe St,casual,46
Public Rack - Austin Ave & Roscoe St,member,64
Public Rack - Austin Ave & Wellington Ave,casual,8
Public Rack - Austin Ave & Wellington Ave,member,2
Public Rack - Austin Ave & Wellington Ave - midblock,casual,5
Public Rack - Austin Ave & Wellington Ave - midblock,member,2
Public Rack - Austin Ave & Wrightwood Ave,casual,66
Public Rack - Austin Ave & Wrightwood Ave,member,43
Public Rack - Austin Blvd & North Ave,casual,14
Public Rack - Austin Blvd & North Ave,member,3
Public Rack - Austin Branch Chicago Public Library,member,1
Public Rack - Ave L & 105th St,casual,2
Public Rack - Ave N & 106th St,casual,2
Public Rack - Avenue J & 102nd St,casual,1
Public Rack - Avenue J & 102nd St,member,2
Public Rack - Avenue J & 106th St,member,1
Public Rack - Avenue J & 112th St,casual,2
Public Rack - Avenue J & 112th St,member,1
Public Rack - Avenue M & 132nd St,casual,1
Public Rack - Avers Ave & Archer Ave,casual,13
Public Rack - Avers Ave & Irving Park Rd,casual,65
Public Rack - Avers Ave & Irving Park Rd,member,101
Public Rack - Avers Ave & Ogden Ave,casual,30
Public Rack - Avers Ave & Ogden Ave,member,8
Public Rack - Avondale Ave & Addison St,casual,44
Public Rack - Avondale Ave & Addison St,member,34
Public Rack - Baltimore Ave & 132nd St,casual,2
Public Rack - Baltimore Ave & 133rd St,casual,3
Public Rack - Baltimore Ave & 133rd St,member,6
Public Rack - Bell Ave & 95th St,casual,4
Public Rack - Bell Ave & 95th St,member,2
Public Rack - Bensley Ave & 103rd St,member,2
Public Rack - Bishop St & 46th St,member,1
Public Rack - Brainerd Park,casual,4
Public Rack - Brainerd Park,member,42
Public Rack - Brandon Ave & 91st St,member,16
Public Rack - Brighton Park Branch Chicago Library,casual,6
Public Rack - Brighton Park Branch Chicago Library,member,1
Public Rack - Buffalo Ave & 133rd St,casual,2
Public Rack - Buffalo Ave & 133rd St,member,2
Public Rack - Buffalo Ave & 89th St,member,1
Public Rack - Burnside Academy,casual,1
Public Rack - California Ave & Cortez St,casual,201
Public Rack - California Ave & Cortez St,member,174
Public Rack - California Ave & Devon Ave - NE,casual,19
Public Rack - California Ave & Devon Ave - NE,member,24
Public Rack - California Ave & Devon Ave - NW,casual,51
Public Rack - California Ave & Devon Ave - NW,member,37
Public Rack - California Ave & Marquette Rd,casual,15
Public Rack - California Ave & Marquette Rd,member,7
Public Rack - California Ave & Ogden Ave,casual,30
Public Rack - California Ave & Ogden Ave,member,9
Public Rack - California Ave & Pershing Rd,casual,5
Public Rack - California Ave & Pershing Rd,member,1
Public Rack - California Ave & Touhy Ave - NW,casual,48
Public Rack - California Ave & Touhy Ave - NW,member,41
Public Rack - California Ave & Touhy Ave - SW,casual,2
Public Rack - California Ave & Touhy Ave - SW,member,7
Public Rack - California Ave & Touhy Ave - midblock,casual,2
Public Rack - Calumet Ave & 51st St,member,4
Public Rack - Calumet Ave & Garfield Blvd,member,1
Public Rack - Campbell Ave & Pratt Blvd,casual,21
Public Rack - Campbell Ave & Pratt Blvd,member,38
Public Rack - Canty Elementary School,casual,2
Public Rack - Canty Elementary School,member,1
Public Rack - Central Ave & Congress Pkwy,casual,1
Public Rack - Central Ave & Corcoran Pl,casual,7
Public Rack - Central Ave & Corcoran Pl,member,1
Public Rack - Central Ave & George St,casual,16
Public Rack - Central Ave & George St,member,27
Public Rack - Central Ave & North Ave,casual,27
Public Rack - Central Park Ave & 16th St,casual,5
Public Rack - Central Park Ave & 16th St,member,2
Public Rack - Central Park Ave & Fillmore St,casual,5
Public Rack - Central Park Ave & Fillmore St,member,7
Public Rack - Central Park Ave & Ogden Ave,casual,13
Public Rack - Central Park Ave & Ogden Ave,member,8
Public Rack - Champlain Ave & 65th St,casual,36
Public Rack - Champlain Ave & 65th St,member,47
Public Rack - Chase Ave & Touhy Ave - NE,casual,16
Public Rack - Chase Ave & Touhy Ave - NE,member,15
Public Rack - Chase Ave & Touhy Ave - NW,casual,9
Public Rack - Chase Ave & Touhy Ave - NW,member,5
Public Rack - Chopin Park,casual,53
Public Rack - Chopin Park,member,35
Public Rack - Christiana Ave & 111th St,casual,1
Public Rack - Christiana Ave & 55th St,casual,3
Public Rack - Christiana Ave & Archer Ave,casual,18
Public Rack - Christiana Ave & Archer Ave,member,66
Public Rack - Christiana Ave & Belmont Ave,casual,194
Public Rack - Christiana Ave & Belmont Ave,member,156
Public Rack - Christiana Ave & Bryn Mawr Ave,casual,9
Public Rack - Christiana Ave & Bryn Mawr Ave,member,12
Public Rack - Christiana Ave & Lawrence Ave,casual,60
Public Rack - Christiana Ave & Lawrence Ave,member,57
Public Rack - Cicero Ave & Altgeld St,casual,26
Public Rack - Cicero Ave & Altgeld St,member,13
Public Rack - Cicero Ave & Cortland St - midblock,casual,35
Public Rack - Cicero Ave & Cortland St - midblock,member,19
Public Rack - Cicero Ave & Le Moyne St - midblock,casual,5
Public Rack - Cicero Ave & Le Moyne St - midblock,member,10
Public Rack - Cicero Ave & North Ave,casual,53
Public Rack - Cicero Ave & North Ave,member,25
Public Rack - Cicero Ave & Roscoe St,casual,51
Public Rack - Cicero Ave & Roscoe St,member,37
Public Rack - Cicero Ave & Wellington Ave,casual,30
Public Rack - Cicero Ave & Wellington Ave,member,30
Public Rack - Cicero Ave & Wrightwood Ave,casual,130
Public Rack - Cicero Ave & Wrightwood Ave,member,197
Public Rack - Claremont Ave & 71st St,casual,2
Public Rack - Claremont Ave & 71st St,member,1
Public Rack - Clyde Ave & 87th St,casual,1
Public Rack - Clyde Ave & 87th St,member,2
Public Rack - Colfax Ave & 83rd St,casual,6
Public Rack - Colfax Ave & 83rd St,member,2
Public Rack - Commercial Ave & 89th St,casual,2
Public Rack - Commercial Ave & 89th St,member,3
Public Rack - Cornell Ave & 87th Pl,casual,5
Public Rack - Cornell Ave & 87th Pl,member,5
Public Rack - Cottage Grove & 85th St,member,4
Public Rack - Cottage Grove & 86th St,member,2
Public Rack - Cottage Grove Ave & 75th St,member,1
Public Rack - Cottage Grove Ave & 87th St,casual,2
Public Rack - Cottage Grove Ave & 87th St,member,7
Public Rack - Cottage Grove Ave & 92nd St,casual,2
Public Rack - Cottage Grove Ave & 98th St,casual,2
Public Rack - Cottage Grove Ave & 98th St,member,2
Public Rack - Crandon Ave & 80th St,casual,2
Public Rack - Damen Ave & 47th St,casual,2
Public Rack - Damen Ave & 47th St,member,3
Public Rack - Damen Ave & 80th St,casual,2
Public Rack - Damen Ave & 80th St,member,1
Public Rack - Division St & Christiana Ave,casual,3
Public Rack - Division St & Christiana Ave,member,3
Public Rack - Drake Ave & Leland Ave,casual,26
Public Rack - Drake Ave & Leland Ave,member,24
Public Rack - East End Ave & 87th St,casual,3
Public Rack - East End Ave & 87th St,member,3
Public Rack - Eberhart Ave & 61st St,casual,20
Public Rack - Eberhart Ave & 61st St,member,10
Public Rack - Eggleston Ave & 115th St,casual,3
Public Rack - Eggleston Ave & 115th St,member,1
Public Rack - Eli Whitney Public School,casual,68
Public Rack - Eli Whitney Public School,member,4
Public Rack - Ellis Ave & 132nd Pl,casual,1
Public Rack - Ellis Ave & Doty Ave,casual,2
Public Rack - Emerald Ave & 43rd St,casual,1
Public Rack - Emerald Ave & 45th St,casual,2
Public Rack - Emerald Ave & 45th St,member,3
Public Rack - Evans Ave & 63rd St,casual,6
Public Rack - Evans Ave & 63rd St,member,22
Public Rack - Ewing Ave & 102nd St,casual,1
Public Rack - Ewing Ave & 105th St,casual,1
Public Rack - Ewing Ave & 106th St,casual,8
Public Rack - Ewing Ave & 106th St,member,2
Public Rack - Ewing Ave & 106th St NW,casual,1
Public Rack - Ewing Ave & 106th St NW,member,1
Public Rack - Ewing Ave & 107th St,casual,2
Public Rack - Ewing Ave & 107th St,member,4
Public Rack - Ewing Ave & 95th St,casual,4
Public Rack - Ewing Ave & 95th St,member,1
Public Rack - Ewing Ave & 96th St N,member,1
Public Rack - Ewing Ave & 96th St S,member,1
Public Rack - Ewing Ave & 99th St,casual,2
Public Rack - Ewing Ave & 99th St,member,2
Public Rack - Exchange Ave & 73rd Pl,casual,5
Public Rack - Exchange Ave & 73rd Pl,member,6
Public Rack - Fairfield Ave & 63rd St,casual,10
Public Rack - Fairfield Ave & 63rd St,member,26
Public Rack - Forrestville Ave & 47th St,casual,2
Public Rack - Forrestville Ave & 47th St,member,3
Public Rack - Francisco Ave & Touhy Ave,casual,5
Public Rack - Francisco Ave & Touhy Ave,member,3
Public Rack - Fullerton Ave & Lavergne Ave,casual,19
Public Rack - Fullerton Ave & Lavergne Ave,member,21
Public Rack - Fullerton Ave & Narragansett Ave,casual,78
Public Rack - Fullerton Ave & Narragansett Ave,member,39
Public Rack - Garfield Park Conservatory,casual,2
Public Rack - Garfield Park Conservatory,member,3
Public Rack - Grand Ave & North Ave,casual,67
Public Rack - Grand Ave & North Ave,member,16
Public Rack - Greenwood Ave & Lake Park Ave,casual,1
Public Rack - Greenwood Ave & Lake Park Ave,member,2
Public Rack - Halsted St & 102nd St,casual,1
Public Rack - Halsted St & 102nd St,member,2
Public Rack - Halsted St & 109th St,casual,1
Public Rack - Halsted St & 109th St,member,3
Public Rack - Halsted St & 111th St,casual,2
Public Rack - Halsted St & 113th St,casual,1
Public Rack - Halsted St & 113th St,member,1
Public Rack - Halsted St & 41st St,member,1
Public Rack - Halsted St & 63rd St,member,1
Public Rack - Halsted St & 64th St,casual,1
Public Rack - Halsted St & 64th St,member,5
Public Rack - Halsted St & 76th St,casual,6
Public Rack - Halsted St & 76th St,member,4
Public Rack - Halsted St & 80th St,member,1
Public Rack - Halsted St & 95th St - SE,casual,14
Public Rack - Halsted St & 95th St - SE,member,28
Public Rack - Halsted St & 95th St - SW,casual,1
Public Rack - Halsted St & 95th St - SW,member,6
Public Rack - Hamilton Ave & 95th St,casual,8
Public Rack - Hamilton Ave & 95th St,member,5
Public Rack - Hamlin Ave & Chicago Ave,casual,12
Public Rack - Hamlin Ave & Chicago Ave,member,5
Public Rack - Hamlin Ave & Fullerton Ave,casual,266
Public Rack - Hamlin Ave & Fullerton Ave,member,291
Public Rack - Hamlin Ave & Grand Ave,casual,96
Public Rack - Hamlin Ave & Grand Ave,member,23
Public Rack - Hamlin Ave & Madison St,casual,2
Public Rack - Hamlin Ave & Madison St,member,6
Public Rack - Hamlin Ave & Montrose Ave,casual,132
Public Rack - Hamlin Ave & Montrose Ave,member,173
Public Rack - Harding Ave & 47th St,casual,5
Public Rack - Harold Washington Park,casual,41
Public Rack - Harold Washington Park,member,66
Public Rack - Harper Ave & 63rd St,casual,2
Public Rack - Harriet E Sayre Public School,casual,2
Public Rack - Harriet E Sayre Public School,member,2
Public Rack - Harvard Ave & 103rd St,casual,3
Public Rack - Harvard Ave & 119th St,casual,7
Public Rack - Harvey Ave & North Ave,casual,10
Public Rack - Harvey Ave & North Ave,member,1
Public Rack - Hiawatha Park,casual,1
Public Rack - Homan Ave & 26th St,casual,11
Public Rack - Homan Ave & 26th St,member,6
Public Rack - Homan Ave & 62nd Pl,casual,3
Public Rack - Homan Ave & Roosevelt,casual,6
Public Rack - Houston Ave & 130th St,casual,1
Public Rack - Houston Ave & 130th St,member,1
Public Rack - Houston Ave & 131st St,casual,2
Public Rack - Houston Ave & 131st St,member,6
Public Rack - Houston Ave & 91st St,member,1
Public Rack - Hoyne Ave & 110th Pl,casual,10
Public Rack - Hoyne Ave & 110th Pl,member,74
Public Rack - Hoyne Ave & 51st St,casual,2
Public Rack - Hyde Park Blvd & 53rd St,casual,5
Public Rack - Hyde Park Blvd & 53rd St,member,22
Public Rack - Hyde Park Blvd & 55th St,casual,21
Public Rack - Hyde Park Blvd & 55th St,member,32
Public Rack - Independence Blvd & Roosevelt,member,1
Public Rack - Indiana Ave & 111th St,casual,2
Public Rack - Indiana Ave & 111th St,member,2
Public Rack - James Madison School,member,1
Public Rack - Jeffery Blvd & 67th St,casual,1
Public Rack - Jeffery Blvd & 81st St,casual,4
Public Rack - Jeffery Blvd & 83rd St,member,1
Public Rack - Jeffrey Blvd & 71st St,casual,1
Public Rack - Jeffrey Blvd & 71st St,member,2
Public Rack - Jensen Park,casual,48
Public Rack - Jensen Park,member,84
Public Rack - Jonathan Y Scammon Public School,casual,59
Public Rack - Jonathan Y Scammon Public School,member,19
Public Rack - Justine St & 87th St,member,2
Public Rack - Karlov Ave & 26th St,casual,4
Public Rack - Karlov Ave & 26th St,member,4
Public Rack - Karlov Ave & Kamerling Ave,casual,63
Public Rack - Karlov Ave & Kamerling Ave,member,51
Public Rack - Karlov Ave & Milwaukee Ave,casual,45
Public Rack - Karlov Ave & Milwaukee Ave,member,21
Public Rack - Kedvale Ave & 26th St,member,2
Public Rack - Kedvale Ave & 63rd St E,casual,1
Public Rack - Kedvale Ave & 63rd St W,member,2
Public Rack - Kedvale Ave & Addison St,casual,22
Public Rack - Kedvale Ave & Addison St,member,6
Public Rack - Kedvale Ave & Avondale Ave,casual,30
Public Rack - Kedvale Ave & Avondale Ave,member,23
Public Rack - Kedzie & 103rd St - East,casual,2
Public Rack - Kedzie & 103rd St - W,casual,1
Public Rack - Kedzie Ave & 54th Pl,casual,1
Public Rack - Kedzie Ave & 54th Pl,member,3
Public Rack - Kedzie Ave & 54th St - SE,casual,7
Public Rack - Kedzie Ave & 54th St - SE,member,10
Public Rack - Kedzie Ave & 54th St - SW,casual,7
Public Rack - Kedzie Ave & 54th St - SW,member,2
Public Rack - Kedzie Ave & 58th St,casual,7
Public Rack - Kedzie Ave & 58th St,member,12
Public Rack - Kedzie Ave & 60th St,casual,3
Public Rack - Kedzie Ave & 61st Pl,casual,4
Public Rack - Kedzie Ave & 61st Pl E,casual,15
Public Rack - Kedzie Ave & 61st Pl E,member,4
Public Rack - Kedzie Ave & 61st Pl W,casual,6
Public Rack - Kedzie Ave & 61st Pl W,member,4
Public Rack - Kedzie Ave & 62nd Pl,casual,2
Public Rack - Kedzie Ave & 62nd Pl,member,19
Public Rack - Kedzie Ave & 63rd St,casual,6
Public Rack - Kedzie Ave & 63rd St,member,9
Public Rack - Kedzie Ave & 64th St - SE,casual,3
Public Rack - Kedzie Ave & 64th St - SE,member,1
Public Rack - Kedzie Ave & 64th St - SW,casual,8
Public Rack - Kedzie Ave & 64th St - SW,member,2
Public Rack - Kedzie Ave & Archer Ave,casual,22
Public Rack - Kedzie Ave & Archer Ave,member,12
Public Rack - Kedzie Ave & Argyle St,casual,77
Public Rack - Kedzie Ave & Argyle St,member,138
Public Rack - Kedzie Ave & Arthington St,member,1
Public Rack - Kedzie Ave & Chicago Ave,casual,8
Public Rack - Kedzie Ave & Chicago Ave,member,1
Public Rack - Kedzie Ave & Walnut St,casual,1
Public Rack - Kedzie Ave & Walnut St,member,5
Public Rack - Kedzie Ave &amp; 62nd Pl,member,2
Public Rack - Keef Ave & South Chicago Ave,member,1
Public Rack - Keeler Ave & 26th St,casual,3
Public Rack - Keeler Ave & 26th St,member,2
Public Rack - Keeler Ave & 55th St,casual,4
Public Rack - Keeler Ave & 55th St,member,1
Public Rack - Kenneth Ave & 63rd St E,casual,7
Public Rack - Kenneth Ave & 63rd St E,member,2
Public Rack - Kenneth Ave & 63rd St W,member,1
Public Rack - Kenton Ave & Palmer St,casual,88
Public Rack - Kenton Ave & Palmer St,member,79
Public Rack - Keystone Ave & Irving Park Rd,casual,96
Public Rack - Keystone Ave & Irving Park Rd,member,86
Public Rack - Keystone Ave & North Ave,casual,92
Public Rack - Keystone Ave & North Ave,member,101
Public Rack - Kilbourn Ave & Fullerton Ave,casual,115
Public Rack - Kilbourn Ave & Fullerton Ave,member,75
Public Rack - Kildare Ave & Division Ave,casual,2
Public Rack - Kildare Ave & Division St,casual,49
Public Rack - Kildare Ave & Division St,member,33
Public Rack - Kildare Ave & North Ave,casual,9
Public Rack - Kildare Ave & North Ave,member,9
Public Rack - Kildare Ave & Washignton Blvd,casual,2
Public Rack - Kimball Ave & Carmen Ave,casual,30
Public Rack - Kimball Ave & Carmen Ave,member,16
Public Rack - Kimbark Ave & 63rd St,casual,3
Public Rack - Kimbark Ave & 63rd St,member,2
Public Rack - Kimbark Ave & 67th St,casual,12
Public Rack - Kimbark Ave & 67th St,member,17
Public Rack - King Dr & 115th St,casual,40
Public Rack - King Dr & 115th St,member,56
Public Rack - King Dr & 71st St,casual,5
